"","PhytoDate","WQDate","StationCode","Month","Year","Latitude","Longitude","Genus","CarbonperML","AirTemp","Chla","Pheophytin","TotAmmonia","DissAmmonia","DissNitrateNitrite","DOC","TOC","DON","TON","DissOrthophos","TotPhos","DissSilica","TDS","TSS","TKN","Depth","Secchi","Microcystis","SpCndSurface","DOSurface","WTSurface"
"44",2011-03-16,2011-03-16,"D41A",3,2011,38.08472,-122.3907,"Microcystis",0,NA,"2.02","1.14",NA,"0.09","0.36","1.8","1.9","0.3",NA,"0.05",0.1,"12.1",12650,"47","0.5",7.7,40,NA,20439,9,13.1
"45",2011-03-16,2011-03-16,"D6",3,2011,38.04436,-122.1177,"Microcystis",0,NA,"3.87","0.98",NA,"0.12","0.37","2.4","2.7","0.2",NA,"0.05",0.09,"14.5",6400,"22","0.6",42.5,60,NA,10553,9.45,13.5
"46",2011-03-16,2011-03-16,"NZ325",3,2011,38.05798,-122.2919,"Microcystis",0,NA,"8.01","6.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,20,NA,16216,9.1,14.2
"47",2011-04-07,2011-04-07,"C10A",4,2011,37.67934,-121.2647,"Microcystis",0,NA,"8.01","2.38",NA,"0.01","0.05","4.7","4.9","0.4",NA,"0.04",0.11,"9.7",91,"16","0.4",NA,NA,NA,150,7.7,14.9
"48",2011-04-07,2011-04-07,"C3A",4,2011,38.36771,-121.5205,"Microcystis",0,NA,"6.15","1.13",NA,"0.05","0.09","1.9","2.1","0.3",NA,"0.02",0.05,"16.6",66,"26","0.4",13.7,46,NA,109,9.9,13.1
"49",2011-04-11,2011-04-11,"D19",4,2011,38.04376,-121.6148,"Microcystis",0,NA,"2.57","1.19",NA,"0.02","0.22","4.4","4.7","0.3",NA,"0.05",0.08,"11.7",125,"1","0.3",17.5,160,NA,196,9.2,15.3
"50",2011-04-11,2011-04-11,"D28A",4,2011,37.97048,-121.573,"Microcystis",0,NA,"1.59","1.71",NA,"0.04","0.1","4.4","4.3","0.3",NA,"0.04",0.09,"8.9",120,"2","0.6",20.6,176,NA,199,8.5,15.3
"51",2011-04-12,2011-04-12,"D26",4,2011,38.07664,-121.5669,"Microcystis",0,NA,"2.27","1.22",NA,"0.04","0.12","3","3","0.2",NA,"0.04",0.06,"13.2",99,"4","0.3",44.5,108,NA,154,9.3,14
"52",2011-04-12,2011-04-12,"MD10A",4,2011,38.04226,-121.4199,"Microcystis",0,NA,"6.84","2.66",NA,"0.01","0.14","4.8","4.9","0.4",NA,"0.07",0.1,"9.1",133,"2","0.4",15.3,120,NA,235,9.8,17.1
"53",2011-04-12,2011-04-12,"P8",4,2011,37.97817,-121.3823,"Microcystis",0,NA,"4.92","1.65",NA,"0.02","0.13","3.9","3.9","0.2",NA,"0.05",0.08,"8.1",100,"6","0.4",39.6,78,NA,172,8.9,15.3
