Date,Region,AvgCI
9/10/2021,Liberty Island,0
9/13/2021,Franks Tract,0
9/13/2021,Mildred Island,0
9/13/2021,Clifton Court Forebay,0
9/13/2021,Liberty Island,0
9/14/2021,Franks Tract,0
9/14/2021,Mildred Island,0
9/14/2021,Clifton Court Forebay,0
9/14/2021,Liberty Island,0
9/17/2021,Franks Tract,0
9/17/2021,Mildred Island,0
9/17/2021,Clifton Court Forebay,6.62E-06
9/17/2021,Liberty Island,0
9/18/2021,Franks Tract,0
9/18/2021,Mildred Island,0
9/18/2021,Clifton Court Forebay,0
9/18/2021,Liberty Island,0
9/21/2021,Franks Tract,0
9/21/2021,Mildred Island,0
9/21/2021,Clifton Court Forebay,0
9/21/2021,Liberty Island,0
9/22/2021,Franks Tract,0
9/22/2021,Clifton Court Forebay,0
9/22/2021,Liberty Island,0
9/25/2021,Franks Tract,0
9/25/2021,Mildred Island,0
9/25/2021,Clifton Court Forebay,0
9/25/2021,Liberty Island,2.80E-06
9/26/2021,Franks Tract,0
9/26/2021,Clifton Court Forebay,0
9/28/2021,Liberty Island,3.19E-05
9/29/2021,Franks Tract,0
9/29/2021,Mildred Island,0
9/29/2021,Clifton Court Forebay,0
9/29/2021,Liberty Island,0
9/30/2021,Franks Tract,0
9/30/2021,Clifton Court Forebay,0
9/30/2021,Liberty Island,0
10/2/2021,Franks Tract,0
10/2/2021,Mildred Island,0
10/2/2021,Clifton Court Forebay,0
10/2/2021,Liberty Island,3.60E-06
10/3/2021,Franks Tract,4.60E-05
10/3/2021,Mildred Island,0
10/3/2021,Liberty Island,7.08E-05
10/4/2021,Franks Tract,8.10E-04
10/4/2021,Mildred Island,0
10/6/2021,Franks Tract,9.13E-05
10/6/2021,Liberty Island,0
10/7/2021,Franks Tract,0
10/7/2021,Clifton Court Forebay,6.35E-06
10/7/2021,Liberty Island,0
10/10/2021,Franks Tract,1.11E-05
10/10/2021,Mildred Island,0
10/10/2021,Clifton Court Forebay,0
10/10/2021,Liberty Island,1.03E-06
10/11/2021,Franks Tract,8.44E-06
10/11/2021,Mildred Island,0
10/11/2021,Clifton Court Forebay,0
10/11/2021,Liberty Island,1.33E-04
10/14/2021,Franks Tract,0
10/14/2021,Mildred Island,0
10/14/2021,Clifton Court Forebay,0
10/14/2021,Liberty Island,8.52E-07
10/15/2021,Franks Tract,0
10/15/2021,Mildred Island,0
10/15/2021,Clifton Court Forebay,0
10/15/2021,Liberty Island,0
10/18/2021,Franks Tract,0
10/18/2021,Liberty Island,1.06E-05
10/19/2021,Franks Tract,0
10/19/2021,Mildred Island,0
10/19/2021,Clifton Court Forebay,0
10/19/2021,Liberty Island,1.41E-04
10/22/2021,Clifton Court Forebay,0
10/25/2021,Liberty Island,3.13E-06
10/26/2021,Franks Tract,0
10/26/2021,Mildred Island,0
10/27/2021,Clifton Court Forebay,0
10/27/2021,Liberty Island,0
10/29/2021,Clifton Court Forebay,0
10/30/2021,Franks Tract,0
10/30/2021,Mildred Island,0
10/30/2021,Liberty Island,0
10/31/2021,Liberty Island,7.17E-05
